Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float:decimal,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float:decimal,Filename:string,Line Number:uinteger,Start Address:uinteger,
"main(int, char * *)",1,-,-,40.000000,40.000000,-,-,4277765557.000000,4277765557.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,170,2409827596,
"Encode(struct x264_param_t *, struct cli_opt_t *)",1,19166,19166,19166.000000,19166.000000,3905197750,3905197750,3905197750.000000,3905197750.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1316,2409826500,
"Encode_frame(struct x264_t *, void *, struct x264_picture_t *)",301,70,195,111.328904,33510.000000,4952,23809415,12881563.976744,3877350757.000001,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1272,2409826148,
"x264_encoder_encode(struct x264_t *, struct x264_nal_t * *, int *, struct x264_picture_t *, struct x264_picture_t *)",301,70,2254,2240.624585,674428.000000,70,23746200,12870398.016611,3873989803.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,1141,2409715824,
x264_slice_write(struct x264_t *),300,17053,19907,17938.740000,5381622.000000,2692703,19260097,9194772.300000,2758431690.000002,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,911,2409712912,
x264_macroblock_analyse(struct x264_t *),29700,136,593,214.108081,6359010.000000,17790,695483,78101.654276,2319619132.000001,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,1461,2409700500,
"x264_me_search_ref(struct x264_t *, struct x264_me_t *, int[2] *, int, int *)",48484,804,1392,966.198684,46845177.000000,14172,110687,30852.545190,1495854800.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\me.c,63,2409844276,
"refine_subpel(struct x264_t *, struct x264_me_t *, int, int)",59835,449,1723,947.380480,56686511.000000,5251,100458,23741.316370,1420561664.999995,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\me.c,320,2409841504,
"pixel_satd_wxh(unsigned char *, int, unsigned char *, int, int, int)",1199053,211,2911,847.865103,1016635194.999981,211,2911,847.865103,1016635194.999981,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,130,2409786732,
"x264_frame_filter(int, struct x264_frame_t *)",300,4038,4038,4038.000000,1211400.000000,2260638,2260638,2260638.000000,678191400.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,429,2409872536,
"x264_mb_analyse_inter_p8x8(struct x264_t *, struct x264_mb_analysis_t *)",6816,837,837,837.000000,5704992.000000,58519,129906,82584.656543,562897018.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,667,2409672400,
"x264_macroblock_probe_skip(struct x264_t *, int)",28050,203,2457,2142.617112,60100410.000000,2886,19304,14868.967166,417074529.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,866,2409750788,
"x264_mb_analyse_inter_p16x16(struct x264_t *, struct x264_mb_analysis_t *)",6816,273,273,273.000000,1860768.000000,45181,111292,60408.168134,411742074.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,610,2409671412,
"get_ref(unsigned char * *, int, unsigned char *, int *, int, int, int, int)",516747,35,2584,767.503817,396605294.999995,35,2584,767.503817,396605294.999995,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,308,2409873824,
null(),1,-,-,50.000000,50.000000,-,-,372559786.000000,372559786.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\dm6446cfg.s62,2180,2410059688,
"pixel_satd_16x16(unsigned char *, int, unsigned char *, int)",113474,20,20,20.000000,2269480.000000,2931,2931,2931.000000,332592294.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,181,2409787700,
"pixel_satd_8x8(unsigned char *, int, unsigned char *, int)",370140,20,20,20.000000,7402800.000000,779,779,779.000000,288339060.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,184,2409787584,
"x264_mb_analyse_inter_p8x16(struct x264_t *, struct x264_mb_analysis_t *)",3601,558,558,558.000000,2009358.000000,51907,122211,77953.630658,280711024.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,760,2409679400,
"x264_mb_analyse_inter_p16x8(struct x264_t *, struct x264_mb_analysis_t *)",3601,549,549,549.000000,1976949.000000,48401,108873,72108.846432,259663956.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,719,2409678072,
"mc_hc(unsigned char *, int, unsigned char *, int)",36000,6894,6894,6894.000000,248184000.000000,6894,6894,6894.000000,248184000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,118,2409877536,
x264_macroblock_encode(struct x264_t *),29700,52,3017,712.205253,21152496.000000,1770,32617,8003.810337,237713166.999998,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,584,2409757384,
"x264_frame_deblocking_filter(struct x264_t *, int)",300,724530,1533852,767627.866667,230288360.000000,724530,1533852,767627.866667,230288360.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,637,2409854404,
"motion_compensation_chroma(unsigned char *, int, unsigned char *, int, int, int, int, int)",596430,262,563,382.204356,227958143.999999,262,563,382.204356,227958143.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,343,2409872864,
"mc_hv(unsigned char *, int, unsigned char *, int)",36000,6142,6142,6142.000000,221112000.000000,6142,6142,6142.000000,221112000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,104,2409875972,
"mc_hh(unsigned char *, int, unsigned char *, int)",36000,5769,5769,5769.000000,207684000.000000,5769,5769,5769.000000,207684000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,90,2409874180,
"x264_me_refine_qpel(struct x264_t *, struct x264_me_t *)",11351,28,28,28.000000,317828.000000,5279,60264,16657.883006,189083630.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\me.c,288,2409852464,
"quant_4x4(short[4] *, int[4][4] *, int, int)",772733,208,208,208.000000,160728464.000000,242,243,242.016834,187014394.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,166,2409748952,
"x264_mb_analyse_intra(struct x264_t *, struct x264_mb_analysis_t *, int)",7014,387,11383,1838.349301,12894182.000000,14598,83768,23064.938124,161777476.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,399,2409687976,
"x264_frame_init_lowres(int, struct x264_frame_t *)",300,436973,436973,436973.000000,131091900.000000,473772,473772,473772.000000,142131600.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,486,2409870916,
"pixel_satd_8x16(unsigned char *, int, unsigned char *, int)",88726,19,19,19.000000,1685794.000000,1522,1522,1522.000000,135040972.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,183,2409787624,
"pixel_satd_16x8(unsigned char *, int, unsigned char *, int)",88289,18,18,18.000000,1589202.000000,1481,1481,1481.000000,130756009.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,182,2409787684,
"x264_mb_decimate_score(int *, int)",751805,65,478,159.729027,120085080.999997,65,478,159.729027,120085080.999997,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,330,2409750224,
"x264_macroblock_write_cabac(struct x264_t *, struct x264_cabac_t *)",5765,320,1330,742.954206,4283131.000000,2333,217679,17944.562359,103450402.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,900,2409774572,
"pixel_satd_4x4(unsigned char *, int, unsigned char *, int)",381182,20,20,20.000000,7623640.000000,231,231,231.000000,88053042.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,187,2409787662,
"sub4x4_dct(short[4] *, unsigned char *, int, unsigned char *, int)",815024,106,106,106.000000,86392544.000000,106,106,106.000000,86392544.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,154,2409897748,
"block_residual_write_cabac(struct x264_t *, struct x264_cabac_t *, int, int, int *, int)",36549,83,2959,369.587403,13508050.000000,296,22007,2030.097869,74198047.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,762,2409773604,
"x264_cabac_encode_decision(struct x264_cabac_t *, int, int)",375105,81,1144,186.804695,70071374.999999,81,1144,186.804695,70071374.999999,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac1.c,1025,2409887496,
"sub16x16_dct(short[4][4] *, unsigned char *, int, unsigned char *, int)",34895,90,90,90.000000,3140550.000000,1864,1864,1864.000000,65044280.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,197,2409899272,
"x264_mb_encode_8x8_chroma(struct x264_t *, int, int)",7014,1893,2033,2028.508982,14227962.000000,8627,9556,9202.808954,64548502.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,457,2409754712,
"sub8x8_dct(short[4][4] *, unsigned char *, int, unsigned char *, int)",129246,39,39,39.000000,5040594.000000,463,463,463.000000,59840898.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,189,2409898164,
"x264_macroblock_cache_load(struct x264_t *, int, int)",29700,568,1685,1591.961549,47281258.000000,568,1685,1591.961549,47281258.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,1050,2409663628,
x264_macroblock_encode_pskip(struct x264_t *),22686,112,112,112.000000,2540832.000000,1718,3877,1720.379221,39028523.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,557,2409752192,
"plane_expand_border(unsigned char *, int, int, int)",3000,1354,2730,2011.600000,6034800.000000,6794,15738,11163.600000,33490800.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,177,2409853580,
"pixel_satd_4x8(unsigned char *, int, unsigned char *, int)",78604,18,18,18.000000,1414872.000000,425,425,425.000000,33406700.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,186,2409787642,
x264_macroblock_cache_save(struct x264_t *),29700,1097,1158,1105.048788,32819949.000000,1097,1158,1105.048788,32819949.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,1403,2409660596,
"x264_mb_dequant_4x4(short[4] *, int[4][4] *, int)",184512,173,271,177.206556,32696736.000000,173,271,177.206556,32696736.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,224,2409659140,
"pixel_sad_8x8(unsigned char *, int, unsigned char *, int)",440711,74,74,74.000000,32612614.000000,74,74,74.000000,32612614.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,73,2409787736,
"mc_luma(unsigned char * *, int, unsigned char *, int, int, int, int, int)",62087,45,2588,177.302076,11008154.000000,253,2588,520.710261,32329338.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,277,2409873452,
"pixel_satd_8x4(unsigned char *, int, unsigned char *, int)",78638,18,18,18.000000,1415484.000000,405,405,405.000000,31848390.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,185,2409787604,
"read_frame_yuv(struct x264_picture_t *, void *, int, int, int)",300,64,64,64.000000,19200.000000,90507,91178,90742.173333,27222652.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1435,2409815232,
"pixel_sad_16x16(unsigned char *, int, unsigned char *, int)",110151,221,221,221.000000,24343371.000000,221,221,221.000000,24343371.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,70,2409788998,
"x264_mb_analyse_init(struct x264_t *, struct x264_mb_analysis_t *, int)",29700,100,334,282.872727,8401320.000000,612,846,794.872727,23607720.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,123,2409669920,
"mc_copy(unsigned char *, int, unsigned char *, int, int, int)",56502,112,192,188.978514,10677664.000000,208,384,377.352731,21321184.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\mc1.c,78,2409873336,
x264_mb_mc(struct x264_t *),6816,139,694,230.234888,1569281.000000,1693,6042,3053.311473,20811371.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,818,2409636560,
"add4x4_idct(unsigned char *, int, short[4] *)",165200,125,125,125.000000,20650000.000000,125,125,125.000000,20650000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,206,2409901256,
"x264_psnr(long long, long long)",2103,95,95,95.000000,199785.000000,8237,8608,8466.702806,17805476.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,84,2409715632,
"x264_mb_encode_i4x4(struct x264_t *, int, int)",18880,202,202,202.000000,3813760.000000,849,946,879.168644,16598704.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,366,2409749272,
"x264_sqe(struct x264_t *, unsigned char *, int, unsigned char *, int, int, int)",900,1083,3460,1875.333333,1687800.000000,8394,32176,16321.333333,14689200.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\encoder.c,61,2409715052,
"pixel_sad_16x8(unsigned char *, int, unsigned char *, int)",117328,124,124,124.000000,14548672.000000,124,124,124.000000,14548672.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,71,2409788682,
"pixel_sad_8x16(unsigned char *, int, unsigned char *, int)",117046,123,123,123.000000,14396658.000000,123,123,123.000000,14396658.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,72,2409788184,
x264_frame_expand_border_filtered(struct x264_frame_t *),300,71,71,71.000000,21300.000000,45797,45797,45797.000000,13739100.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,209,2409854008,
"add16x16_idct(unsigned char *, int, short[4][4] *)",5638,145,145,145.000000,817510.000000,2145,2145,2145.000000,12093510.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,258,2409901992,
"pixel_ssd_16x16(unsigned char *, int, unsigned char *, int)",41700,290,290,290.000000,12093000.000000,290,290,290.000000,12093000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\pixel1.c,101,2409785656,
x264_frame_expand_border_lowres(struct x264_frame_t *),300,71,71,71.000000,21300.000000,36655,36655,36655.000000,10996500.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,218,2409853912,
"predict_16x16_v(unsigned char *, int)",6708,1546,1546,1546.000000,10370568.000000,1546,1546,1546.000000,10370568.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,149,2409811252,
x264_frame_expand_border(struct x264_frame_t *),300,87,87,87.000000,26100.000000,29413,29413,29413.000000,8823900.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,199,2409854100,
"x264_cabac_mb_mvd_cpn(struct x264_t *, struct x264_cabac_t *, int, int, int, int)",20204,95,305,103.248119,2086025.000000,176,2411,434.391160,8776439.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,528,2409767944,
"quant_2x2_dc(short[2] *, int[4][4] *, int, int)",59456,106,106,106.000000,6302336.000000,141,141,141.000000,8383296.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,202,2409750496,
"add8x8_idct(unsigned char *, int, short[4][4] *)",14028,39,39,39.000000,547092.000000,539,539,539.000000,7561092.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,250,2409901838,
"x264_cabac_encode_bypass(struct x264_cabac_t *, int)",50847,71,787,136.638543,6947660.000000,71,787,136.638543,6947660.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac1.c,1064,2409888792,
"x264_cabac_mb_cbp_luma(struct x264_t *, struct x264_cabac_t *)",5736,382,382,382.000000,2191152.000000,706,2097,1205.999128,6917611.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,303,2409771664,
"x264_mb_predict_mv(struct x264_t *, int, int, int, int *)",51770,92,177,131.864690,6826635.000000,92,177,131.864690,6826635.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,290,2409632432,
"x264_cabac_mb_skip(struct x264_t *, int)",29502,54,54,54.000000,1593108.000000,135,1168,207.514202,6122084.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,411,2409782752,
"x264_analyse_update_cache(struct x264_t *, struct x264_mb_analysis_t *)",29700,60,285,107.524007,3193463.000000,116,8399,191.580000,5689926.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,1906,2409681072,
"x264_cabac_mb_cbf_ctxidxinc(struct x264_t *, int, int)",36549,87,161,154.433062,5644374.000000,87,161,154.433062,5644374.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,643,2409772600,
"x264_frame_copy_picture(struct x264_t *, struct x264_frame_t *, struct x264_picture_t *)",300,65,65,65.000000,19500.000000,16565,16565,16565.000000,4969500.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\frame1.c,136,2409861752,
"i420_to_i420(struct x264_frame_t *, struct x264_image_t *, int, int)",300,2964,2964,2964.000000,889200.000000,16500,16500,16500.000000,4950000.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\csp1.c,97,2409905914,
"x264_cabac_mb8x8_mvd(struct x264_t *, struct x264_cabac_t *, int)",834,525,525,525.000000,437850.000000,2868,11975,4985.149880,4157615.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,602,2409769176,
dct2x2dc(short[2] *),73484,48,48,48.000000,3527232.000000,48,48,48.000000,3527232.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\dct1.c,56,2409900186,
"x264_cabac_mb_type(struct x264_t *, struct x264_cabac_t *)",5765,62,147,90.701127,522892.000000,143,2153,574.707719,3313190.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,80,2409765728,
"predict_16x16_p(unsigned char *, int)",6680,457,457,457.000000,3052760.000000,457,457,457.000000,3052760.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,161,2409811366,
"x264_mb_predict_mv_pskip(struct x264_t *, int *)",52355,32,75,45.789972,2397334.000000,32,176,47.236826,2473084.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,438,2409629080,
"x264_cabac_context_init(struct x264_cabac_t *, int, int, int)",300,7429,7429,7429.000000,2228700.000000,7429,7429,7429.000000,2228700.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac1.c,799,2409890760,
"predict_16x16_h(unsigned char *, int)",6704,316,316,316.000000,2118464.000000,316,316,316.000000,2118464.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,132,2409812664,
"predict_4x4_v(unsigned char *, int)",19481,106,106,106.000000,2064986.000000,106,106,106.000000,2064986.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,444,2409809900,
"x264_cabac_encode_terminal(struct x264_cabac_t *, int)",29729,45,1455,56.792761,1688392.000000,45,1455,56.792761,1688392.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac1.c,1096,2409885388,
"x264_mb_analyse_intra_chroma(struct x264_t *, struct x264_mb_analysis_t *)",203,185,434,402.108374,81628.000000,1838,8275,7470.044335,1516419.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\analyse.c,346,2409680660,
"x264_cabac_mb_intra4x4_pred_mode(struct x264_cabac_t *, int, int)",2704,30,59,42.784024,115688.000000,111,1647,533.818417,1443445.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,252,2409771280,
"x264_mb_mc_0xywh(struct x264_t *, int, int, int, int)",853,147,147,147.000000,125391.000000,996,2067,1657.684642,1414005.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,691,2409633896,
"x264_cabac_mb_cbp_chroma(struct x264_t *, struct x264_cabac_t *)",5736,75,99,77.259414,443160.000000,156,1377,229.794979,1318104.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\cabac.c,349,2409772052,
"predict_4x4_vr(unsigned char *, int)",15077,86,86,86.000000,1296622.000000,86,86,86.000000,1296622.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,534,2409809396,
"x264_mb_predict_mv_ref16x16(struct x264_t *, int, int, int[2] *, int *)",6816,52,202,175.185153,1194062.000000,52,202,175.185153,1194062.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,635,2409627908,
x264_macroblock_encode_skip(struct x264_t *),22686,52,52,52.000000,1179672.000000,52,52,52.000000,1179672.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock.c,538,2409752080,
"predict_4x4_hd(unsigned char *, int)",14401,77,77,77.000000,1108877.000000,77,77,77.000000,1108877.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,566,2409810134,
"x264_mb_dequant_2x2_dc(short[2] *, int[4][4] *, int)",14028,76,76,76.000000,1066128.000000,76,76,76.000000,1066128.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\macroblock1.c,168,2409659620,
"predict_4x4_ddr(unsigned char *, int)",14400,74,74,74.000000,1065600.000000,74,74,74.000000,1065600.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\predict1.c,504,2409810450,
"write_nalu_mkv(void *, unsigned char *, int)",305,74,272,110.259016,33629.000000,74,31059,3036.760656,926212.000000,C:\Users\Poojan\workspace_v5_3\x264\Debug\..\x264.c,1972,2409813792,
